IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired
118,12,5.5,500,500,1,53,3,1,01010124354ITA,,2026-02-27T13:00:00.000Z,,0
117,12,5.5,500,500,1,53,3,1,0101012U1R17BP,,2026-02-27T13:00:00.000Z,,0
116,12,5.5,500,500,1,53,3,1,0101012JAJLWS6,,2026-02-27T13:00:00.000Z,,0
115,12,5.5,500,500,1,52,3,1,01010129Z4ET3I,,2026-02-28T13:00:00.000Z,,0
114,12,5.5,500,500,1,52,3,1,0101012Q9ANX58,,2026-02-28T13:00:00.000Z,,0
113,12,5.5,500,500,1,52,3,1,01010121JEQ25G,,2026-02-28T13:00:00.000Z,,0
112,12,5.5,500,500,1,51,3,1,0101012FFHR9YW,,2026-02-25T13:00:00.000Z,,0
111,12,5.5,500,500,1,51,3,1,0101012TFWMUVY,,2026-02-25T13:00:00.000Z,,0
110,12,5.5,500,500,1,51,3,1,0101012AQ3KE8T,,2026-02-25T13:00:00.000Z,,0
109,12,5.5,500,500,1,51,3,1,010101240KZ4DL,,2026-02-25T13:00:00.000Z,,0
108,12,5.5,500,500,1,51,3,1,0101012HLRWK1G,,2026-02-25T13:00:00.000Z,,0
101,12,5.5,500,500,1,40,3,1,0101012N6SPYSE,,2026-02-25T13:00:00.000Z,,0
100,12,5.5,500,500,1,40,3,1,0101012RTRD7CL,,2026-02-25T13:00:00.000Z,,0
99,12,5.5,500,500,1,40,3,1,0101012R5G6OXP,,2026-02-25T13:00:00.000Z,,0
98,12,5.5,500,500,1,40,3,1,0101012DJJ15NS,,2026-02-25T13:00:00.000Z,,0
97,12,5.5,500,500,1,39,3,1,010101227LKSMW,,2026-02-26T13:00:00.000Z,,0
96,12,5.5,500,500,1,39,3,1,01010120E6LJAQ,,2026-02-26T13:00:00.000Z,,0
95,12,5.5,500,500,1,38,3,1,0101012VHE13KD,,2026-02-18T13:00:00.000Z,,0
94,12,5.5,500,500,1,36,3,1,01010123R3NWQM,,2026-02-21T13:00:00.000Z,,0
93,12,5.5,500,500,1,36,3,1,0101012FFHYAWD,,2026-02-21T13:00:00.000Z,,0
92,12,5.5,500,500,1,36,3,1,01010128NYCSJK,,2026-02-21T13:00:00.000Z,,0
91,12,5.5,500,500,1,36,3,1,0101012L9CJBCW,,2026-02-21T13:00:00.000Z,,0
90,12,5.5,500,500,1,36,3,1,01010125KA21XK,,2026-02-21T13:00:00.000Z,,0
89,12,5.5,500,500,1,36,3,1,0101012CRVT4VX,,2026-02-21T13:00:00.000Z,,0
88,12,5.5,500,500,1,36,3,1,0101012BZRJY72,,2026-02-21T13:00:00.000Z,,0
87,12,5.5,500,500,1,36,3,1,0101012UH29A2V,,2026-02-21T13:00:00.000Z,,0
86,12,5.5,500,500,1,36,3,1,01010124AJE7P0,,2026-02-21T13:00:00.000Z,,0
85,12,5.5,500,500,1,36,3,1,01010125PP29FO,,2026-02-21T13:00:00.000Z,,0
84,12,5.5,500,500,1,36,3,1,0101012X06IRME,,2026-02-21T13:00:00.000Z,,0
83,12,5.5,500,500,1,36,3,1,0101012980X4DO,,2026-02-21T13:00:00.000Z,,0
82,12,5.5,500,500,1,36,3,1,0101012H9EIL52,,2026-02-21T13:00:00.000Z,,0
81,12,5.5,500,500,1,36,3,1,01010122QPZOLN,,2026-02-21T13:00:00.000Z,,0
80,12,5.5,500,500,1,36,3,1,01010126O3C5K7,,2026-02-21T13:00:00.000Z,,0
79,12,5.5,500,500,1,36,3,1,01010125MMK0OK,,2026-02-21T13:00:00.000Z,,0
78,12,5.5,500,500,1,36,3,1,0101012DB9FECD,,2026-02-21T13:00:00.000Z,,0
77,12,5.5,500,500,1,36,3,1,0101012A18SGVO,,2026-02-21T13:00:00.000Z,,0
76,12,5.5,500,500,1,36,3,1,0101012KGNOS51,,2026-02-21T13:00:00.000Z,,0
75,12,5.5,500,500,1,36,3,1,0101012U7UG6FO,,2026-02-21T13:00:00.000Z,,0
74,12,5.5,500,500,1,36,3,1,0101012XVR4QU6,,2026-02-21T13:00:00.000Z,,0
73,12,5.5,500,500,1,36,3,1,0101012IQDOPAB,,2026-02-21T13:00:00.000Z,,0
72,12,5.5,500,500,1,36,3,1,01010126GRA18H,,2026-02-21T13:00:00.000Z,,0
71,12,5.5,500,500,1,36,3,1,0101012ASCWHX3,,2026-02-21T13:00:00.000Z,,0
70,12,5.5,500,500,1,36,3,1,0101012L518CIR,,2026-02-21T13:00:00.000Z,,0
69,12,5.5,500,500,1,36,3,1,01010127PZOBRS,,2026-02-21T13:00:00.000Z,,0
68,12,5.5,500,500,1,36,3,1,0101012M4JGUMN,,2026-02-21T13:00:00.000Z,,0
67,12,5.5,500,500,1,36,3,1,01010123BQXNGI,,2026-02-21T13:00:00.000Z,,0
66,12,5.5,500,500,1,36,3,1,0101012UEEEG0Z,,2026-02-21T13:00:00.000Z,,0
65,12,5.5,500,500,1,36,3,1,01010125GWUZXD,,2026-02-21T13:00:00.000Z,,0
64,12,5.5,500,500,1,36,3,1,010101219YJ2RA,,2026-02-21T13:00:00.000Z,,0
63,12,5.5,500,500,1,36,3,1,0101012787Q4Q8,,2026-02-21T13:00:00.000Z,,0
62,12,5.5,500,500,1,36,3,1,01010120OYCHYS,,2026-02-21T13:00:00.000Z,,0
61,12,5.5,500,500,1,36,3,1,0101012JZ524DI,,2026-02-21T13:00:00.000Z,,0
60,12,5.5,500,500,1,36,3,1,0101012T3ZJEWY,,2026-02-21T13:00:00.000Z,,0
59,12,5.5,500,500,1,36,3,1,01010126YFWS78,,2026-02-21T13:00:00.000Z,,0
58,12,5.5,500,500,1,36,3,1,0101012H827B8F,,2026-02-21T13:00:00.000Z,,0
57,12,5.5,500,500,1,36,3,1,0101012W4N12BT,,2026-02-21T13:00:00.000Z,,0
56,12,5.5,500,500,1,36,3,1,0101012JN34SXG,,2026-02-21T13:00:00.000Z,,0
55,12,5.5,500,500,1,35,3,1,01010120LB6HVC,,2026-02-21T13:00:00.000Z,,0
54,12,5.5,500,500,1,35,3,1,01010129IZL23C,,2026-02-21T13:00:00.000Z,,0
53,12,5.5,500,500,1,35,3,1,0101012PQL3D96,,2026-02-21T13:00:00.000Z,,0
52,12,5.5,500,500,1,35,3,1,010101258ZCKJV,,2026-02-21T13:00:00.000Z,,0
51,12,5.5,500,500,1,35,3,1,0101012X3Z6QO8,,2026-02-21T13:00:00.000Z,,0
50,12,5.5,500,500,1,35,3,1,0101012ZL8Z7KB,,2026-02-21T13:00:00.000Z,,0
49,12,5.5,500,500,1,35,3,1,0101012JP2TTDM,,2026-02-21T13:00:00.000Z,,0
48,12,5.5,500,500,1,35,3,1,0101012QS6Q26S,,2026-02-21T13:00:00.000Z,,0
47,12,5.5,500,500,1,35,3,1,0101012XYGWJ81,,2026-02-21T13:00:00.000Z,,0
46,12,5.5,500,500,1,35,3,1,0101012J8UIP2W,,2026-02-21T13:00:00.000Z,,0
45,12,5.5,500,500,1,35,3,1,010101222O2KFS,,2026-02-21T13:00:00.000Z,,0
44,12,5.5,500,500,1,35,3,1,0101012PZALCCE,,2026-02-21T13:00:00.000Z,,0
29,12,5.5,500,500,1,26,3,1,01010124INLOT8,,2026-02-02T13:00:00.000Z,,0
28,12,5.5,500,500,1,26,3,1,0101012EPKB0K1,,2026-02-02T13:00:00.000Z,,0
27,12,5.5,500,500,1,25,3,1,0101012KG2F7I0,,2026-02-01T13:00:00.000Z,,1
26,12,5.5,500,500,1,25,3,1,01010128XE3U8S,,2026-02-01T13:00:00.000Z,,1
25,12,5.5,500,500,1,25,3,1,0101012WPUAI10,,2026-02-01T13:00:00.000Z,,1
24,11,5.5,500,500,1,24,3,1,0101011JKWFKLY,,2026-02-02T13:00:00.000Z,,0
23,11,5.5,500,500,1,24,3,1,0101011DKVE2BU,,2026-02-02T13:00:00.000Z,,0
22,11,5.5,500,500,1,23,3,1,0101011NJUDQZB,,2026-02-01T13:00:00.000Z,,1
21,11,5.5,500,500,1,23,3,1,0101011E5ZAYGX,,2026-02-01T13:00:00.000Z,,1
20,11,5.5,500,500,1,23,3,1,0101011MYMHII9,,2026-02-01T13:00:00.000Z,,1
