Timestamp,BatchId,UserId,CurrentAlarm,MachineStatus,TotalProductCount,TotalPassCount,ProductDynamicWeight,OffsetPlus,OffsetMinus,CurrentWeight,CurrentWeightStatus,UnderWeightCount,OverWeightCount,DoubleCounts,BatchStatus,RSN,RSN_JSON,Status,SCPM_Code,ReasonCode,ReasonDescription
2026-02-03 15:19:00,290,1,0,1,3,2,5500,500,500,5830,2,0,0,1,1,0101025NQMV18J,"{""IRS_ID"": 128, ""IRS_ProductID"": 33, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 61, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101025NQMV18J"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-02T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 0}",PASS,RM,1,VALID UID
2026-02-03 15:19:28,290,1,0,1,4,2,0,0,0,5805,2,0,0,2,1,,,FAIL,RM,5,NO READ
2026-02-03 15:19:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0101025NQMV18J,,FAIL,,10,DUPLICATE UID
2026-02-03 15:20:25,290,1,0,1,6,2,0,0,0,5755,2,0,0,4,1,,,FAIL,RM,0,INVALID UID
2026-02-03 15:21:03,290,1,0,1,7,2,0,0,0,5780,2,0,0,5,1,,,FAIL,RM,0,INVALID UID
2026-02-03 15:21:50,290,1,0,1,8,3,5500,500,500,5790,2,0,0,5,1,010102474BH88N,"{""IRS_ID"": 126, ""IRS_ProductID"": 32, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 60, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""010102474BH88N"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-02T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 0}",PASS,RM,1,VALID UID
2026-02-03 15:23:37,290,1,0,1,9,4,5500,500,500,5800,2,0,0,5,1,0101026I2B3VII,"{""IRS_ID"": 130, ""IRS_ProductID"": 34, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 62, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101026I2B3VII"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-02T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 0}",PASS,RM,1,VALID UID
2026-02-03 15:24:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010102474BH88N,,FAIL,,10,DUPLICATE UID
2026-02-03 15:25:01,291,1,0,1,2,0,0,0,0,5740,2,0,0,2,1,,,FAIL,JC,0,INVALID UID
2026-02-03 15:25:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0101025NQMV18J,,FAIL,,10,DUPLICATE UID
2026-02-03 15:26:01,291,1,0,1,4,1,5500,500,500,5715,2,0,0,3,1,0101023AYJFTLY,"{""IRS_ID"": 125, ""IRS_ProductID"": 31, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 59, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101023AYJFTLY"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-02T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 0}",PASS,JC,1,VALID UID
2026-02-03 15:26:34,291,1,0,1,5,2,5500,500,500,5755,2,0,0,3,1,01010223PZ92K1,"{""IRS_ID"": 122, ""IRS_ProductID"": 30, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 58, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""01010223PZ92K1"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-02T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 0}",PASS,JC,1,VALID UID
