IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired
745,1,2,0.1,0.1,,2,3,1,0101001IOQ8HF0,,2033-07-23T13:00:00.000Z,,0
744,1,2,0.1,0.1,,2,3,1,0101001B10605F,,2033-07-23T13:00:00.000Z,,0
742,1,2,0.1,0.1,,2,3,1,0101001ZM2FX6Q,,2033-07-23T13:00:00.000Z,,0
739,1,2,0.1,0.1,,2,3,1,0101001MYLFYVP,,2033-07-23T13:00:00.000Z,,0
738,1,2,0.1,0.1,,2,3,1,0101001K1SWERV,,2033-07-23T13:00:00.000Z,,0
736,1,2,0.1,0.1,,2,3,1,0101001V31429C,,2033-07-23T13:00:00.000Z,,0
735,1,2,0.1,0.1,,2,3,1,0101001IWN079R,,2033-07-23T13:00:00.000Z,,0
733,1,2,0.1,0.1,,2,3,1,0101001H2NQ4NG,,2033-07-23T13:00:00.000Z,,0
732,1,2,0.1,0.1,,2,3,1,0101001IDNAOJC,,2033-07-23T13:00:00.000Z,,0
731,1,2,0.1,0.1,,2,3,1,0101001WO7DHWG,,2033-07-23T13:00:00.000Z,,0
730,1,2,0.1,0.1,,2,3,1,0101001RVAQDRP,,2033-07-23T13:00:00.000Z,,0
729,1,2,0.1,0.1,,2,3,1,0101001J1LAFAH,,2033-07-23T13:00:00.000Z,,0
728,1,2,0.1,0.1,,2,3,1,0101001PO1PQVI,,2033-07-23T13:00:00.000Z,,0
727,1,2,0.1,0.1,,2,3,1,0101001DR0UB53,,2033-07-23T13:00:00.000Z,,0
726,1,2,0.1,0.1,,2,3,1,01010019LXT603,,2033-07-23T13:00:00.000Z,,0
725,1,2,0.1,0.1,,2,3,1,0101001BU1MYJM,,2033-07-23T13:00:00.000Z,,0
723,1,2,0.1,0.1,,2,3,1,0101001Z4LUPN7,,2033-07-23T13:00:00.000Z,,0
722,1,2,0.1,0.1,,2,3,1,0101001FRCV4M4,,2033-07-23T13:00:00.000Z,,0
720,1,2,0.1,0.1,,2,3,1,0101001KP9G35G,,2033-07-23T13:00:00.000Z,,0
719,1,2,0.1,0.1,,2,3,1,0101001ZBOYYYQ,,2033-07-23T13:00:00.000Z,,0
717,1,2,0.1,0.1,,2,3,1,0101001UNXG0GS,,2033-07-23T13:00:00.000Z,,0
716,1,2,0.1,0.1,,2,3,1,01010014X6LQX3,,2033-07-23T13:00:00.000Z,,0
715,1,2,0.1,0.1,,2,3,1,0101001I3E1RE7,,2033-07-23T13:00:00.000Z,,0
714,1,2,0.1,0.1,,2,3,1,0101001U76EF2U,,2033-07-23T13:00:00.000Z,,0
713,1,2,0.1,0.1,,2,3,1,0101001F120VPD,,2033-07-23T13:00:00.000Z,,0
711,1,2,0.1,0.1,,2,3,1,0101001FJBM9F8,,2033-07-23T13:00:00.000Z,,0
