Timestamp,BatchId,UserId,CurrentAlarm,MachineStatus,TotalProductCount,TotalPassCount,ProductDynamicWeight,OffsetPlus,OffsetMinus,CurrentWeight,CurrentWeightStatus,UnderWeightCount,OverWeightCount,DoubleCounts,BatchStatus,RSN,RSN_JSON,Status,SCPM_Code
1245,68160,0,0,1,1,1.633,0.164,0.24,1.481,2,0,0,0,1,2026-01-24 17:25:26,0101001000THXT,"{""IRS_ID"": 685, ""IRS_ProductID"": 1, ""PM_GrossWeight"": 2, ""PM_MaxOffset"": 0.1, ""PM_MinOffset"": 0.1, ""IRS_PackSize"": """", ""IRS_BatchID"": 2, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101001000THXT"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2033-07-23T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 1}",PASS,RM01
6696,61535,0,1,2,2,1.219,0.062,0.276,1.548,2,0,0,0,1,2026-01-24 17:25:27,010100100ARK7N,"{""IRS_ID"": 530, ""IRS_ProductID"": 1, ""PM_GrossWeight"": 2, ""PM_MaxOffset"": 0.1, ""PM_MinOffset"": 0.1, ""IRS_PackSize"": """", ""IRS_BatchID"": 2, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""010100100ARK7N"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2033-07-23T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 1}",PASS,RM01
2152,90160,0,1,3,3,1.453,0.102,0.273,1.644,2,0,0,0,1,2026-01-24 17:25:27,010100100MM3GZ,"{""IRS_ID"": 358, ""IRS_ProductID"": 1, ""PM_GrossWeight"": 2, ""PM_MaxOffset"": 0.1, ""PM_MinOffset"": 0.1, ""IRS_PackSize"": """", ""IRS_BatchID"": 2, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""010100100MM3GZ"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2033-07-23T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 1}",PASS,RM01
8183,10754,0,0,4,4,1.481,0.095,0.141,1.621,2,0,0,0,1,2026-01-24 17:25:28,010100104J82GS,"{""IRS_ID"": 222, ""IRS_ProductID"": 1, ""PM_GrossWeight"": 2, ""PM_MaxOffset"": 0.1, ""PM_MinOffset"": 0.1, ""IRS_PackSize"": """", ""IRS_BatchID"": 2, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""010100104J82GS"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2033-07-23T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 1}",PASS,RM01
9110,81383,0,0,5,5,1.682,0.086,0.082,1.365,2,0,0,0,1,2026-01-24 17:25:28,01010010CPQBMM,"{""IRS_ID"": 712, ""IRS_ProductID"": 1, ""PM_GrossWeight"": 2, ""PM_MaxOffset"": 0.1, ""PM_MinOffset"": 0.1, ""IRS_PackSize"": """", ""IRS_BatchID"": 2, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""01010010CPQBMM"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2033-07-23T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 1}",PASS,RM01
3286,73643,0,1,6,6,1.488,0.266,0.208,1.626,2,0,0,0,1,2026-01-24 17:25:29,01010010F65IDE,"{""IRS_ID"": 278, ""IRS_ProductID"": 1, ""PM_GrossWeight"": 2, ""PM_MaxOffset"": 0.1, ""PM_MinOffset"": 0.1, ""IRS_PackSize"": """", ""IRS_BatchID"": 2, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""01010010F65IDE"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2033-07-23T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 1}",PASS,RM01
2898,43121,0,0,7,7,1.609,0.13,0.073,1.664,2,0,0,0,1,2026-01-24 17:25:29,01010010GEWNRQ,"{""IRS_ID"": 193, ""IRS_ProductID"": 1, ""PM_GrossWeight"": 2, ""PM_MaxOffset"": 0.1, ""PM_MinOffset"": 0.1, ""IRS_PackSize"": """", ""IRS_BatchID"": 2, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""01010010GEWNRQ"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2033-07-23T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 1}",PASS,RM01
3918,14780,0,2,8,8,1.442,0.134,0.174,1.571,2,0,0,0,1,2026-01-24 17:25:30,01010010GJXP50,"{""IRS_ID"": 346, ""IRS_ProductID"": 1, ""PM_GrossWeight"": 2, ""PM_MaxOffset"": 0.1, ""PM_MinOffset"": 0.1, ""IRS_PackSize"": """", ""IRS_BatchID"": 2, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""01010010GJXP50"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2033-07-23T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 1}",PASS,RM01
5146,91197,0,3,9,9,1.234,0.153,0.126,1.348,2,0,0,0,1,2026-01-24 17:25:31,01010010GN0Y1D,"{""IRS_ID"": 737, ""IRS_ProductID"": 1, ""PM_GrossWeight"": 2, ""PM_MaxOffset"": 0.1, ""PM_MinOffset"": 0.1, ""IRS_PackSize"": """", ""IRS_BatchID"": 2, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""01010010GN0Y1D"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2033-07-23T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 1}",PASS,RM01
2318,16024,0,1,10,10,1.535,0.085,0.251,1.517,2,0,0,0,1,2026-01-24 17:25:31,01010010HRZGY1,"{""IRS_ID"": 265, ""IRS_ProductID"": 1, ""PM_GrossWeight"": 2, ""PM_MaxOffset"": 0.1, ""PM_MinOffset"": 0.1, ""IRS_PackSize"": """", ""IRS_BatchID"": 2, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""01010010HRZGY1"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2033-07-23T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 1}",PASS,RM01
