IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired
137,43,5.5,500,500,1,70,3,1,0101002O38PZCC,,2026-06-03T13:00:00.000Z,,0
136,43,5.5,500,500,1,70,3,1,0101002PT61S3X,,2026-06-03T13:00:00.000Z,,0
145,47,5.5,500,500,1,75,3,1,0101006394INPR,,2026-06-03T13:00:00.000Z,,0
144,47,5.5,500,500,1,74,3,1,01010065QKBS89,,2026-06-03T13:00:00.000Z,,0
139,44,5.5,500,500,1,71,3,1,0101003LCAOFCS,,2026-06-03T13:00:00.000Z,,0
138,44,5.5,500,500,1,71,3,1,0101003K12U3ZS,,2026-06-03T13:00:00.000Z,,0
141,45,5.5,500,500,1,72,3,1,0101004O6JMMT0,,2026-06-03T13:00:00.000Z,,0
140,45,5.5,500,500,1,72,3,1,0101004VFEU5LI,,2026-06-03T13:00:00.000Z,,0
143,46,5.5,500,500,1,73,3,1,01010050AHMDPO,,2026-06-03T13:00:00.000Z,,0
142,46,5.5,500,500,1,73,3,1,0101005XMCUPL1,,2026-06-03T13:00:00.000Z,,0
